title,link,published,category
Лукашенко предрек счастливый 2023 год,https://lenta.ru/news/2022/12/26/happy2023/,"Mon, 26 Dec 2022 15:57:00 +0300",Бывший СССР
Военный эксперт предупредил о дальнейших атаках ВСУ на аэродромы,https://lenta.ru/news/2022/12/26/atacksss/,"Mon, 26 Dec 2022 15:56:00 +0300",Россия
Власти Армении захотели удержать в стране работающих россиян,https://lenta.ru/news/2022/12/26/zaderzh_arm/,"Mon, 26 Dec 2022 15:50:00 +0300",Экономика
Назван срок запуска новых веток метро в Москве,https://lenta.ru/news/2022/12/26/emcede/,"Mon, 26 Dec 2022 15:47:00 +0300",Среда обитания
Немецкого разведчика заподозрили в передаче России данных об Украине,https://lenta.ru/news/2022/12/26/germrusrazv/,"Mon, 26 Dec 2022 15:45:00 +0300",Мир
Стилист Карцев высмеял наряд Шэрон Стоун со словами «в костюме Баскова»,https://lenta.ru/news/2022/12/26/stonekartsev/,"Mon, 26 Dec 2022 15:44:50 +0300",Ценности
«Адмирал Головко» вышел в Балтийское море на второй этап испытаний,https://lenta.ru/news/2022/12/26/22350/,"Mon, 26 Dec 2022 15:43:54 +0300",Технологии
"Россиянке прислали повестку в военкомат на умершего в 2,5 года сына",https://lenta.ru/news/2022/12/26/povestkk/,"Mon, 26 Dec 2022 15:43:52 +0300",Россия
Филиппа Киркорова захотели привлечь к ответственности из-за танца на кресте,https://lenta.ru/news/2022/12/26/kirkorov_krest/,"Mon, 26 Dec 2022 15:40:44 +0300",Культура
В Азербайджане появилось представительство производителя Bayraktar,https://lenta.ru/news/2022/12/26/azerbpla/,"Mon, 26 Dec 2022 15:39:00 +0300",Бывший СССР
Россиянка убила троих детей из-за «вселившихся в них бесов»,https://lenta.ru/news/2022/12/26/bes/,"Mon, 26 Dec 2022 15:37:00 +0300",Силовые структуры
В России оценили ущерб от действий «беглых банкиров»,https://lenta.ru/news/2022/12/26/beglii/,"Mon, 26 Dec 2022 15:36:07 +0300",Экономика
Находившийся в депрессии российский депутат умер в отеле во время отпуска,https://lenta.ru/news/2022/12/26/death_india/,"Mon, 26 Dec 2022 15:36:00 +0300",Путешествия
Звезда «Аншлага» высказался об отличии москвичей от петербуржцев,https://lenta.ru/news/2022/12/26/galtcev/,"Mon, 26 Dec 2022 15:35:35 +0300",Среда обитания
Американский полковник рассказал о мобилизации подростков на Украине,https://lenta.ru/news/2022/12/26/hugelosses/,"Mon, 26 Dec 2022 15:35:00 +0300",Мир
Умер актер из фильма «Пианист» Ронан Вайберт,https://lenta.ru/news/2022/12/26/vibert_died/,"Mon, 26 Dec 2022 15:32:12 +0300",Культура
В России предупредили о последствиях исключения страны из Совбеза ООН,https://lenta.ru/news/2022/12/26/unsecuritycouncil/,"Mon, 26 Dec 2022 15:31:01 +0300",Мир
Против журналиста Грозева возбудили дело о фейках про армию,https://lenta.ru/news/2022/12/26/grozev_fake/,"Mon, 26 Dec 2022 15:29:00 +0300",Интернет и СМИ
В Британии сравнили военный потенциал северокорейских дронов с Bayraktar,https://lenta.ru/news/2022/12/26/nk_drones_potential/,"Mon, 26 Dec 2022 15:24:00 +0300",Мир
В Чечне опровергли слухи о задержании представителя Кадырова после драки в Крыму,https://lenta.ru/news/2022/12/26/oprr/,"Mon, 26 Dec 2022 15:23:00 +0300",Россия
В Великобритании возник транспортный хаос в День подарков,https://lenta.ru/news/2022/12/26/boxingday/,"Mon, 26 Dec 2022 15:23:00 +0300",Мир
