	title	link	published	category
151	Ученые выявили признаки щедрого мужчины	https://lenta.ru/news/2022/12/25/shedriymuzh/	Sun, 25 Dec 2022 04:44:00 +0300	Наука и техника
152	Популярный iPhone подешевел в России	https://lenta.ru/news/2022/12/25/deshevo/	Sun, 25 Dec 2022 04:30:25 +0300	Наука и техника
153	Американский телеведущий назвал главную ложь года о России	https://lenta.ru/news/2022/12/25/lie/	Sun, 25 Dec 2022 04:24:00 +0300	Интернет и СМИ
154	Россияне во время корпоратива заперли коллегу в сейфе и не смогли его освободить	https://lenta.ru/news/2022/12/25/seif/	Sun, 25 Dec 2022 03:59:42 +0300	Россия
155	Венгрия предупредила об «опасной ситуации» из-за роста цен на энергоносители	https://lenta.ru/news/2022/12/25/orban/	Sun, 25 Dec 2022 03:58:05 +0300	Мир
156	США прокомментировали решение талибов отстранить женщин от работы в НПО	https://lenta.ru/news/2022/12/25/npo/	Sun, 25 Dec 2022 03:52:47 +0300	Мир
157	Юрист предупредила россиян об опасных кредитах	https://lenta.ru/news/2022/12/25/kredity/	Sun, 25 Dec 2022 03:39:39 +0300	Россия
158	Премьер-министр Белоруссии заявил о дефляции в стране	https://lenta.ru/news/2022/12/25/deflation/	Sun, 25 Dec 2022 03:31:10 +0300	Бывший СССР
159	Эрдоган пообещал новые данные по газовому месторождению в Черном море	https://lenta.ru/news/2022/12/25/erdogan/	Sun, 25 Dec 2022 03:20:41 +0300	Мир
160	Король Испании назвал конфликт на Украине причиной энергокризиса	https://lenta.ru/news/2022/12/25/spain/	Sun, 25 Dec 2022 03:09:00 +0300	Экономика
161	Стало известно о планах Netflix выпустить аниме-сериал по «Очень странным делам»	https://lenta.ru/news/2022/12/25/anime/	Sun, 25 Dec 2022 03:08:00 +0300	Культура
162	В российском городе участников СВО не пустили в кафе из-за военной формы	https://lenta.ru/news/2022/12/25/forma/	Sun, 25 Dec 2022 02:57:55 +0300	Россия
163	Российский пенсионер отрубил голову соседке в ответ на замечание	https://lenta.ru/news/2022/12/25/thin/	Sun, 25 Dec 2022 02:51:54 +0300	Силовые структуры
164	Аналитик назвал главную цель обвала курса рубля	https://lenta.ru/news/2022/12/25/ruble/	Sun, 25 Dec 2022 02:37:00 +0300	Экономика
165	Германия попала в западню из-за отказа от российского газа	https://lenta.ru/news/2022/12/25/zapadnya/	Sun, 25 Dec 2022 02:20:00 +0300	Мир
166	Погибшего в Канаде 18-летнего российского хоккеиста похоронили в Торонто	https://lenta.ru/news/2022/12/25/kazbekov/	Sun, 25 Dec 2022 02:03:37 +0300	Спорт
167	Подозреваемого в убийстве россиянки задержали в Армении	https://lenta.ru/news/2022/12/25/gumrizaderzhali/	Sun, 25 Dec 2022 01:54:00 +0300	Бывший СССР
168	Капитан хоккейного клуба возмутился реакцией зрителей на гимн России в Астане	https://lenta.ru/news/2022/12/25/astana/	Sun, 25 Dec 2022 01:50:24 +0300	Спорт
169	Дочь солиста группы «На-На» выписали из больницы	https://lenta.ru/news/2022/12/24/politov/	Sun, 25 Dec 2022 01:39:18 +0300	Культура
170	Российский военный заманил бойцов ВСУ в ловушку	https://lenta.ru/news/2022/12/25/somov/	Sun, 25 Dec 2022 01:17:04 +0300	Россия
