title,link,published,category
В Британии раскритиковали ультиматум Байдена в адрес Лондона,https://lenta.ru/news/2022/12/25/ultim/,"Sun, 25 Dec 2022 09:52:45 +0300",Мир
Член Зала славы UFC умер в 45 лет,https://lenta.ru/news/2022/12/25/bonnar/,"Sun, 25 Dec 2022 09:46:01 +0300",Спорт
Бузова познакомилась с Песковым и назвала его своим поклонником,https://lenta.ru/news/2022/12/25/buzovaa/,"Sun, 25 Dec 2022 09:32:26 +0300",Культура
Медик рассказал о спасении российских и украинских военных на фронте,https://lenta.ru/news/2022/12/25/kasper/,"Sun, 25 Dec 2022 09:28:00 +0300",Россия
Володин предложил повысить налоги для покинувших страну россиян,https://lenta.ru/news/2022/12/25/volodin/,"Sun, 25 Dec 2022 09:17:00 +0300",Россия
В Уфе пройдет фестиваль новогодних каникул,https://lenta.ru/news/2022/12/25/nyearfest/,"Sun, 25 Dec 2022 09:00:09 +0300",Моя страна
Россиянам рассказали о важных деталях при покупке подержанного смартфона,https://lenta.ru/news/2022/12/25/busmart/,"Sun, 25 Dec 2022 08:58:54 +0300",Наука и техника
Во Франции удивились обилию предметов роскоши в российских магазинах,https://lenta.ru/news/2022/12/25/roskosh/,"Sun, 25 Dec 2022 08:54:00 +0300",Экономика
На Украине решили возродить полк «Азов»,https://lenta.ru/news/2022/12/25/azov/,"Sun, 25 Dec 2022 08:52:02 +0300",Бывший СССР
Названа причина пожара в российском ночном клубе,https://lenta.ru/news/2022/12/25/izunique/,"Sun, 25 Dec 2022 08:31:24 +0300",Россия
В России предложили сократить новогодние праздники на время спецоперации,https://lenta.ru/news/2022/12/25/prazdniki/,"Sun, 25 Dec 2022 08:23:00 +0300",Россия
Китай заявил о серьезных трудностях в отношениях с США,https://lenta.ru/news/2022/12/25/trudnosti/,"Sun, 25 Dec 2022 08:17:52 +0300",Мир
В ЛНР заявили о переброске дополнительных сил Киева на сватовское направление,https://lenta.ru/news/2022/12/25/perebros/,"Sun, 25 Dec 2022 08:10:00 +0300",Россия
Опубликована вступительная сцена из приквела «Ведьмака»,https://lenta.ru/news/2022/12/25/scene/,"Sun, 25 Dec 2022 08:05:00 +0300",Культура
Германии предрекли зависимость из-за отказа от российского газа,https://lenta.ru/news/2022/12/25/otkaz/,"Sun, 25 Dec 2022 08:03:40 +0300",Интернет и СМИ
Прокуратура проверит сообщения о пожаре в российском ночном клубе,https://lenta.ru/news/2022/12/25/vdkpozhar/,"Sun, 25 Dec 2022 07:43:12 +0300",Силовые структуры
ВСУ нанесли удар по Михайловке из HIMARS,https://lenta.ru/news/2022/12/25/vsu/,"Sun, 25 Dec 2022 07:37:00 +0300",Россия
